Severity,Start_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,State,Temperature(F),Visibility(mi),Precipitation(in),Weather_Condition,Sunrise_Sunset,Junction,Roundabout,Crossing,Railway,Stop,Traffic_Signal,Give_Way,Bump,Traffic_Calming,Turning_Loop,Wind_Speed(mph),Amenity,Station
2,2022-02-23 16:48:38,29.677355,-95.428565,29.678001,-95.427207,0.093,Accident on Timberside Dr from I-610 W to US-90 Alt E.,I-610,Houston,TX,45.0,10.0,0.0,Cloudy,Day,False,False,False,False,False,False,False,False,False,False,15.0,False,False
2,2022-02-11 17:47:00.000000000,33.32901120169959,-111.97236657089243,33.32596120169959,-111.97236657089243,0.211,Incident on I-10 EB near RAY RD Right shoulder closed.,I-10,Phoenix,AZ,78.0,10.0,0.0,Fair,Day,True,False,False,False,False,False,False,False,False,False,9.0,False,False
2,2021-08-02 14:25:30.000000000,34.134219,-117.635417,34.134765,-117.621298,0.8079999999999999,Slow traffic on CA-210 E - Foothill Fwy E from N Campus Ave to exit [58] due to accident.,N Campus Ave,Upland,CA,104.0,10.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,15.0,False,False
2,2021-01-11 23:15:20,25.840725,-80.318086,25.840847,-80.31890899999998,0.052,Incident on NW 74TH AVE near NW 74TH ST Drive with caution., NW 74th Ave,Miami,FL,68.0,10.0,0.0,Cloudy,Night,False,False,False,False,False,True,False,False,False,False,0.0,False,False
3,2016-04-11 16:37:04,34.174473,-118.159714,,,0.01,Accident on I-210 Westbound near Exit 23 Howard St.,Lincoln Ave,Pasadena,CA,,,,,Day,False,False,False,False,False,False,False,False,False,False,,False,False
2,2020-01-21 06:56:23,33.52565,-81.763672,,,0.0,Accident on Pine Log Rd at Huntsman Dr.,Pine Log Rd,Aiken,SC,25.0,10.0,,Fair,Night,False,False,False,False,False,False,False,False,False,False,7.0,False,False
2,2019-10-09 18:53:00,37.775098,-122.406847,37.775098,-122.406847,0.0,At 8th St - Accident., Langton St,San Francisco,CA,61.0,10.0,0.0,Fair,Night,False,False,False,False,False,False,False,False,False,False,20.0,False,False
2,2020-11-06 01:14:00,25.954546,-80.344443,25.937946,-80.364622,1.699,Stationary traffic on FL-821 from FL-823/57th Ave/Red Rd/Exit 43 (FL-821) to US-27/Okeechobee Rd/Exit 35 (FL-821) due to accident.,FL-821 S,Hialeah,FL,77.0,10.0,0.0,Partly Cloudy,Night,False,False,False,False,False,False,False,False,False,False,12.0,False,False
2,2022-09-16 12:08:00,37.831451,-120.477697,37.832027,-120.478622,0.064,Accident on County Hwy-J59 - CA-59 from Old Don Pedro Rd to Red Hl., La Grange Rd,Jamestown,CA,77.0,10.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,5.0,False,False
2,2019-05-20 15:14:17,40.051022,-83.032539,,,0.0,Left lane blocked due to accident on OH-315 Southbound at Exit 7 Henderson Rd.,Olentangy Fwy N,Columbus,OH,65.0,10.0,0.0,Cloudy,Day,False,False,False,False,False,False,False,False,False,False,17.0,False,False
3,2017-02-15 13:42:35,29.833372,-95.384331,,,0.01,Left &amp; two center lane blocked due to accident on I-45 Northbound at Exits 52B 53 North Fwy.,I-45 N,Houston,TX,59.0,10.0,,Partly Cloudy,Day,False,False,False,False,False,True,False,False,False,False,10.4,False,False
2,2020-11-19 17:41:21,36.146069,-86.870773,,,0.0,Accident on US-70 Charlotte Pike at Westboro Dr.,Charlotte Pike,Nashville,TN,57.0,10.0,0.0,Fair,Night,False,False,False,False,False,False,False,False,False,False,8.0,False,False
3,2016-08-10 16:37:11,39.87282,-75.07866,39.87225,-75.08615999999998,0.4,At RT-168/Exit 28 - Accident.,I-295 S,Bellmawr,NJ,91.9,10.0,,Mostly Cloudy,Day,False,False,False,False,False,False,False,False,False,False,15.0,False,False
2,2019-06-20 07:46:54,39.580688,-105.07283,,,0.0,Accident on Pierce St at CR-54 Ken Caryl Ave. No recent updates.,S Pierce St,Littleton,CO,61.0,10.0,0.0,Partly Cloudy,Day,False,False,True,False,False,True,False,False,False,False,5.0,False,False
2,2021-05-20 05:07:00,36.116238,-86.81054499999998,36.11459,-86.809327,0.133,Slow traffic on US-431 S - TN-106 - US-431 N - TN-155 from Matthew Ln to Golf Club Ln / Boensch St due to accident., Hillsboro Pike,Nashville,TN,65.0,10.0,0.0,Partly Cloudy,Night,False,False,False,False,False,False,False,False,False,False,3.0,False,False
2,2021-02-08 22:44:29,32.622132,-80.734014,32.622988,-80.73295999999998,0.085,Incident on CHARLESTON HWY near BROWN RD Expect delays., Charleston Hwy,Yemassee,SC,53.0,10.0,0.0,Mostly Cloudy,Night,False,False,False,False,False,False,False,False,False,False,7.0,False,False
2,2017-03-31 09:47:37,30.273577000000003,-97.697914,,,0.01,Accident on TX-111 Loop Airport Blvd at Oak Springs Dr.,Oak Springs Dr,Austin,TX,68.0,10.0,,Clear,Day,False,False,False,False,False,True,False,False,False,False,18.4,False,False
2,2019-10-23 19:54:00,34.126388,-118.475396,34.126388,-118.475396,0.0,At Sepulveda Blvd/Exit 63A - Accident.,I-405 N,Sherman Oaks,CA,80.0,10.0,0.0,Fair,Night,False,False,False,False,False,False,False,False,False,False,0.0,False,False
2,2022-06-15 07:51:00,37.62528777,-77.55606294,37.63782777,-77.57870294,1.5119999999999998,Slow traffic on I-64 W from Parham Rd/Exit 181 (I-64) to Gaskins Rd/Exit 180 (I-64) due to accident.,I-64,Henrico,VA,75.0,7.0,0.0,Fair,Day,False,False,False,False,False,False,False,False,False,False,0.0,False,False
2,2019-12-12 19:09:09,41.08956,-73.62475,41.10063,-73.58944,1.991,At Den Rd/Exit 33 - Accident. Right lane blocked.,CT-15 N,Greenwich,CT,27.0,10.0,0.0,Fair,Night,False,False,False,False,False,False,False,False,False,False,3.0,False,False
